City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Kargopol,RU,2022-05-16 15:42:42,61.5071,38.9456,54.19,73,100,3.98
165,Suntar,RU,2022-05-16 15:42:42,62.1444,117.6319,40.77,85,100,3.0
166,Singkang,MY,2022-05-16 15:42:43,2.1006,102.7994,72.93,95,100,0.85
167,Aswan,EG,2022-05-16 15:42:43,24.0934,32.907,101.5,7,98,13.8
168,Pinkafeld,AT,2022-05-16 15:42:44,47.3667,16.1167,74.75,55,90,1.83
169,Hobyo,SO,2022-05-16 15:42:44,5.3505,48.5268,81.57,79,48,23.76
170,Salamiyah,SY,2022-05-16 15:42:44,35.0113,37.0532,72.19,44,76,13.2
171,Svetlogorsk,BY,2022-05-16 15:42:45,52.6333,29.7333,53.89,58,64,10.13
172,Mahon,ES,2022-05-16 15:42:45,39.8885,4.2658,73.96,73,0,4.61
173,Caravelas,BR,2022-05-16 15:42:45,-17.7125,-39.2481,82.09,74,66,6.04
174,Siguiri,GN,2022-05-16 15:42:46,11.6667,-9.5,103.87,18,52,5.64
175,Catalina,US,2022-05-16 15:42:46,32.5056,-110.9211,85.93,11,0,1.99
176,Asfi,MA,2022-05-16 15:42:46,32.2994,-9.2372,71.08,65,0,20.69
177,Shakhovskaya,RU,2022-05-16 15:42:47,56.0283,35.5097,46.62,76,53,13.73
178,Pringsewu,ID,2022-05-16 15:42:47,-5.3582,104.9744,76.24,95,95,5.53
179,Oktyabrskiy,RU,2022-05-16 15:42:48,54.4815,53.471,50.2,86,70,6.35
180,Mount Gambier,AU,2022-05-16 15:42:48,-37.8333,140.7667,51.46,64,100,10.76
181,Gambela,ET,2022-05-16 15:43:48,8.25,34.5833,79.5,66,72,2.89
182,Nador,MA,2022-05-16 15:43:49,35.174,-2.9287,84.27,38,0,9.22
183,Bluff,NZ,2022-05-16 15:43:49,-46.6,168.3333,56.8,84,98,16.42
184,Sikasso,ML,2022-05-16 15:43:50,10.9167,-7.0,101.16,23,59,8.97
185,Kaeo,NZ,2022-05-16 15:43:50,-35.1,173.7833,62.33,94,41,6.33
186,Luganville,VU,2022-05-16 15:43:50,-15.5333,167.1667,77.54,82,89,9.48
187,Rosetta,EG,2022-05-16 15:43:51,31.4044,30.4164,69.71,69,64,7.83
188,Cam Ranh,VN,2022-05-16 15:43:51,11.9214,109.1591,78.76,94,75,0.0
189,Iqaluit,CA,2022-05-16 15:43:51,63.7506,-68.5145,26.33,79,75,12.66
190,Aasiaat,GL,2022-05-16 15:43:52,68.7098,-52.8699,27.88,73,26,5.44
191,Bubaque,GW,2022-05-16 15:43:52,11.2833,-15.8333,79.7,82,51,10.42
192,Wawa,NG,2022-05-16 15:43:53,9.9022,4.4192,97.93,30,62,3.47
193,Mega,ET,2022-05-16 15:43:53,4.05,38.3,58.95,85,60,8.72
